;BUX;BUMIX;;
13-aug-2021;50.378,65;4.009,14;;
12-aug-2021;50.289,64;4.002,87;;
11-aug-2021;50.317,10;4.008,96;;
10-aug-2021;49.849,71;3.988,56;;
09-aug-2021;49.721,84;3.936,39;;
06-aug-2021;50.050,88;3.940,84;;
05-aug-2021;49.830,28;3.948,67;;
04-aug-2021;49.745,57;3.933,57;;
03-aug-2021;49.315,61;3.929,12;;
02-aug-2021;49.041,18;3.934,13;;
30-iul-2021;48.610,95;3.939,40;;
29-iul-2021;48.286,06;3.937,81;;
28-iul-2021;47.527,53;3.922,00;;
27-iul-2021;47.002,77;3.907,07;;
26-iul-2021;46.952,76;3.897,02;;
23-iul-2021;47.491,69;3.910,05;;
22-iul-2021;47.756,88;3.905,88;;
21-iul-2021;47.882,56;3.906,30;;
20-iul-2021;47.622,68;3.890,16;;
19-iul-2021;47.268,49;3.867,14;;
16-iul-2021;48.003,25;3.920,28;;
15-iul-2021;47.677,82;3.893,90;;
14-iul-2021;47.184,60;3.844,48;;
13-iul-2021;47.592,34;3.842,17;;
12-iul-2021;47.804,26;3.842,91;;
09-iul-2021;48.157,57;3.841,96;;
08-iul-2021;47.452,73;3.816,21;;
07-iul-2021;47.574,37;3.840,93;;
06-iul-2021;47.592,47;3.850,72;;
05-iul-2021;47.423,61;3.842,74;;
02-iul-2021;47.520,42;3.830,52;;
01-iul-2021;47.908,81;3.818,34;;
30-iun-2021;47.238,09;3.767,61;;
29-iun-2021;47.759,62;3.786,58;;
28-iun-2021;48.301,62;3.774,78;;
25-iun-2021;48.461,47;3.781,28;;
24-iun-2021;48.610,40;3.767,66;;
23-iun-2021;48.624,32;3.749,30;;
22-iun-2021;48.193,16;3.747,49;;
21-iun-2021;48.379,62;3.770,52;;
18-iun-2021;48.117,72;3.789,98;;
17-iun-2021;48.795,68;3.784,00;;
16-iun-2021;48.525,74;3.772,74;;
15-iun-2021;49.299,48;3.823,15;;
14-iun-2021;49.015,24;3.812,06;;
11-iun-2021;48.845,84;3.712,42;;
10-iun-2021;48.475,07;3.670,48;;
09-iun-2021;48.206,56;3.676,16;;
08-iun-2021;48.546,45;3.700,79;;
07-iun-2021;48.255,90;3.709,46;;
04-iun-2021;48.282,14;3.733,15;;
03-iun-2021;47.422,77;3.741,61;;
02-iun-2021;46.736,89;3.735,73;;
01-iun-2021;46.699,74;3.715,57;;
31-mai-2021;46.371,02;3.702,72;;
28-mai-2021;46.233,29;3.676,84;;
27-mai-2021;45.802,61;3.691,66;;
26-mai-2021;46.379,32;3.695,97;;
25-mai-2021;45.765,15;3.659,42;;
21-mai-2021;46.396,87;3.667,93;;
20-mai-2021;46.261,37;3.701,45;;
19-mai-2021;45.128,56;3.676,61;;
18-mai-2021;45.891,45;3.718,14;;
17-mai-2021;45.862,01;3.693,36;;
14-mai-2021;45.429,12;3.706,54;;
13-mai-2021;44.974,08;3.686,36;;
12-mai-2021;44.160,71;3.683,66;;
11-mai-2021;44.350,67;3.692,08;;
10-mai-2021;44.587,59;3.712,94;;
07-mai-2021;44.164,37;3.696,30;;
06-mai-2021;44.472,71;3.690,24;;
05-mai-2021;44.142,70;3.700,76;;
04-mai-2021;44.036,18;3.702,37;;
03-mai-2021;43.093,89;3.730,11;;
30-apr-2021;43.183,20;3.742,28;;
29-apr-2021;43.665,42;3.764,89;;
28-apr-2021;43.549,43;3.785,46;;
27-apr-2021;43.357,19;3.774,04;;
26-apr-2021;43.281,61;3.754,41;;
23-apr-2021;42.772,95;3.747,88;;
22-apr-2021;42.906,48;3.766,06;;
21-apr-2021;42.753,60;3.736,16;;
20-apr-2021;42.597,26;3.732,67;;
19-apr-2021;42.388,09;3.756,43;;
16-apr-2021;42.997,61;3.738,77;;
15-apr-2021;42.626,71;3.753,41;;
