;BUX;BUMIX;;
14-sept-2018;36.269,17;3.634,60;;
13-sept-2018;36.156,04;3.632,75;;
12-sept-2018;36.104,07;3.628,12;;
11-sept-2018;36.371,94;3.676,01;;
10-sept-2018;37.202,89;3.714,61;;
07-sept-2018;37.189,98;3.692,48;;
06-sept-2018;37.241,82;3.702,71;;
05-sept-2018;37.135,33;3.694,26;;
04-sept-2018;36.968,11;3.694,87;;
03-sept-2018;36.971,86;3.724,00;;
31-aug-2018;37.233,40;3.696,14;;
30-aug-2018;37.225,08;3.685,14;;
29-aug-2018;37.234,86;3.697,18;;
28-aug-2018;36.818,93;3.688,51;;
27-aug-2018;36.685,79;3.686,84;;
24-aug-2018;36.192,13;3.711,98;;
23-aug-2018;36.186,31;3.708,24;;
22-aug-2018;36.365,90;3.702,65;;
21-aug-2018;37.007,66;3.760,59;;
17-aug-2018;36.436,96;3.729,78;;
16-aug-2018;36.472,99;3.737,13;;
15-aug-2018;35.826,14;3.675,93;;
14-aug-2018;36.006,20;3.709,03;;
13-aug-2018;35.693,83;3.730,65;;
10-aug-2018;36.171,26;3.760,82;;
09-aug-2018;36.844,99;3.791,06;;
08-aug-2018;36.954,16;3.813,43;;
07-aug-2018;37.087,75;3.811,58;;
06-aug-2018;37.259,80;3.816,83;;
03-aug-2018;36.760,00;3.812,43;;
02-aug-2018;36.035,46;3.830,77;;
01-aug-2018;36.207,72;3.835,51;;
31-iul-2018;35.742,06;3.861,27;;
30-iul-2018;35.931,23;3.853,76;;
27-iul-2018;35.943,64;3.878,21;;
26-iul-2018;35.624,91;3.847,27;;
25-iul-2018;34.963,19;3.760,84;;
24-iul-2018;35.049,71;3.770,08;;
23-iul-2018;35.141,03;3.822,01;;
20-iul-2018;35.186,52;3.834,35;;
19-iul-2018;35.117,83;3.830,92;;
18-iul-2018;34.720,31;3.846,79;;
17-iul-2018;34.751,13;3.890,48;;
16-iul-2018;35.267,07;3.886,79;;
13-iul-2018;35.641,76;3.929,38;;
12-iul-2018;35.485,87;3.970,18;;
11-iul-2018;35.063,07;3.972,70;;
10-iul-2018;35.403,20;3.995,68;;
09-iul-2018;35.676,82;3.982,98;;
06-iul-2018;35.775,73;4.007,62;;
05-iul-2018;36.335,09;4.004,51;;
04-iul-2018;36.600,25;4.012,00;;
03-iul-2018;36.204,30;4.006,86;;
02-iul-2018;35.867,75;3.987,34;;
29-iun-2018;36.127,71;3.997,71;;
28-iun-2018;35.258,85;3.981,14;;
27-iun-2018;35.587,46;3.987,91;;
26-iun-2018;35.352,03;4.003,75;;
25-iun-2018;35.064,75;4.026,08;;
22-iun-2018;35.396,62;4.031,16;;
21-iun-2018;35.049,55;4.030,65;;
20-iun-2018;35.383,57;4.045,04;;
19-iun-2018;34.972,35;4.031,90;;
18-iun-2018;35.505,46;4.040,32;;
15-iun-2018;36.038,96;4.085,31;;
14-iun-2018;36.654,57;4.110,22;;
13-iun-2018;35.868,59;4.089,59;;
12-iun-2018;36.348,11;4.104,92;;
11-iun-2018;36.606,38;4.103,04;;
08-iun-2018;36.738,31;4.131,75;;
07-iun-2018;37.401,25;4.126,79;;
06-iun-2018;37.157,46;4.161,12;;
05-iun-2018;36.677,56;4.125,52;;
04-iun-2018;37.194,37;4.141,46;;
01-iun-2018;35.952,68;4.122,88;;
31-mai-2018;35.356,83;4.130,54;;
30-mai-2018;34.837,13;4.073,80;;
29-mai-2018;34.883,94;4.048,87;;
28-mai-2018;35.373,59;4.099,51;;
25-mai-2018;35.758,06;4.101,25;;
24-mai-2018;35.892,62;4.132,04;;
23-mai-2018;35.456,52;4.138,25;;
22-mai-2018;36.400,77;4.176,52;;
18-mai-2018;36.770,93;4.178,19;;
17-mai-2018;37.538,04;4.179,79;;
16-mai-2018;37.574,99;4.199,43;;
15-mai-2018;37.663,78;4.215,15;;
14-mai-2018;38.602,89;4.194,27;;
11-mai-2018;37.644,06;4.188,66;;
10-mai-2018;36.740,21;4.185,16;;
09-mai-2018;36.588,26;4.176,19;;
08-mai-2018;37.164,55;4.193,54;;
07-mai-2018;37.541,33;4.219,38;;
04-mai-2018;37.916,31;4.246,92;;
03-mai-2018;37.660,99;4.210,17;;
02-mai-2018;37.969,84;4.265,97;;
27-apr-2018;38.295,72;4.319,34;;
26-apr-2018;38.265,35;4.279,23;;
25-apr-2018;38.049,97;4.258,09;;
24-apr-2018;37.892,90;4.250,92;;
23-apr-2018;38.123,45;4.134,69;;
20-apr-2018;38.122,87;4.224,67;;
19-apr-2018;38.663,10;4.318,20;;
18-apr-2018;38.766,49;4.332,83;;
17-apr-2018;38.154,20;4.333,94;;
16-apr-2018;38.296,28;4.355,43;;
13-apr-2018;38.351,65;4.361,68;;
12-apr-2018;38.330,37;4.336,41;;
11-apr-2018;37.971,57;4.285,05;;
10-apr-2018;37.882,42;4.274,33;;
09-apr-2018;38.306,34;4.322,42;;
06-apr-2018;37.962,26;4.027,35;;
05-apr-2018;38.065,04;4.025,08;;
04-apr-2018;37.275,42;3.948,35;;
03-apr-2018;37.867,54;3.967,02;;
29-mar-2018;37.258,90;3.907,73;;
28-mar-2018;36.783,31;3.805,94;;
27-mar-2018;37.300,96;3.831,68;;
26-mar-2018;37.087,05;3.808,07;;
23-mar-2018;36.940,37;3.759,63;;
22-mar-2018;37.350,75;3.800,13;;
21-mar-2018;38.236,94;3.856,65;;
20-mar-2018;37.954,29;3.890,45;;
19-mar-2018;37.689,09;3.840,88;;
14-mar-2018;38.891,24;3.956,03;;
13-mar-2018;38.663,67;3.953,91;;
12-mar-2018;38.822,65;4.065,84;;
09-mar-2018;38.411,50;4.002,56;;
08-mar-2018;38.670,63;3.967,70;;
07-mar-2018;38.186,20;3.827,18;;
06-mar-2018;38.008,47;3.792,03;;
05-mar-2018;37.119,66;3.884,52;;
02-mar-2018;36.939,18;4.004,64;;
01-mar-2018;37.767,85;4.036,51;;
28-feb-2018;38.112,00;4.039,78;;
27-feb-2018;38.462,63;4.141,78;;
26-feb-2018;38.620,84;4.147,65;;
23-feb-2018;38.240,09;4.196,46;;
22-feb-2018;38.643,99;4.169,86;;
21-feb-2018;38.971,94;4.169,54;;
20-feb-2018;38.667,08;4.169,92;;
19-feb-2018;39.006,35;4.188,17;;
16-feb-2018;39.138,87;4.211,25;;
15-feb-2018;38.522,50;4.244,62;;
14-feb-2018;38.454,35;4.149,14;;
13-feb-2018;38.387,29;4.103,03;;
12-feb-2018;38.287,22;4.111,37;;
09-feb-2018;38.320,32;4.114,41;;
08-feb-2018;38.875,93;4.138,13;;
07-feb-2018;39.698,10;4.098,65;;
06-feb-2018;38.806,19;4.065,63;;
05-feb-2018;39.769,45;4.136,99;;
02-feb-2018;39.951,46;4.166,73;;
01-feb-2018;40.238,27;4.133,56;;
31-ian-2018;40.188,51;4.134,76;;
30-ian-2018;39.926,42;4.121,67;;
29-ian-2018;40.500,12;4.221,50;;
26-ian-2018;40.785,87;4.202,16;;
25-ian-2018;40.431,65;4.147,08;;
24-ian-2018;40.979,77;4.224,02;;
23-ian-2018;41.516,41;4.244,24;;
22-ian-2018;41.002,39;4.247,84;;
19-ian-2018;40.021,89;4.275,92;;
18-ian-2018;39.663,92;4.259,97;;
17-ian-2018;39.543,26;4.155,31;;
16-ian-2018;39.684,16;4.267,10;;
15-ian-2018;39.579,11;4.291,17;;
12-ian-2018;39.877,86;4.336,35;;
11-ian-2018;39.772,75;4.330,50;;
10-ian-2018;39.651,23;4.367,11;;
09-ian-2018;39.869,56;4.371,63;;
08-ian-2018;40.104,03;4.383,18;;
05-ian-2018;39.995,16;4.393,96;;
04-ian-2018;39.850,00;4.346,07;;
03-ian-2018;39.604,40;4.291,93;;
02-ian-2018;39.443,57;4.317,37;;
29-dec-2017;39.377,31;4.299,13;;
28-dec-2017;39.178,80;4.261,06;;
27-dec-2017;39.190,99;4.210,21;;
22-dec-2017;39.027,55;4.208,86;;
21-dec-2017;39.140,22;4.213,65;;
20-dec-2017;38.846,60;4.195,67;;
19-dec-2017;38.807,09;4.217,01;;
18-dec-2017;38.744,18;4.249,43;;
15-dec-2017;38.657,37;4.252,40;;
14-dec-2017;38.616,19;4.225,75;;
13-dec-2017;38.228,16;4.187,73;;
12-dec-2017;38.018,26;4.152,77;;
11-dec-2017;37.575,75;4.002,27;;
08-dec-2017;38.232,56;4.020,22;;
07-dec-2017;38.348,20;4.069,64;;
06-dec-2017;37.591,53;4.046,77;;
05-dec-2017;37.558,76;3.977,45;;
04-dec-2017;37.805,37;4.072,55;;
01-dec-2017;38.188,81;4.078,93;;
30-nov-2017;38.673,73;4.145,21;;
29-nov-2017;38.819,26;4.136,29;;
28-nov-2017;39.242,18;4.112,47;;
27-nov-2017;39.424,29;4.141,53;;
24-nov-2017;39.709,00;4.081,00;;
23-nov-2017;39.962,72;4.022,20;;
22-nov-2017;40.131,37;4.031,58;;
21-nov-2017;39.554,05;4.067,49;;
20-nov-2017;39.359,28;4.079,30;;
17-nov-2017;39.279,75;4.010,40;;
16-nov-2017;38.982,30;3.973,20;;
15-nov-2017;38.615,11;3.918,49;;
14-nov-2017;39.140,44;3.950,67;;
13-nov-2017;39.254,00;3.743,47;;
10-nov-2017;39.435,24;3.710,47;;
09-nov-2017;40.273,66;3.835,48;;
08-nov-2017;40.122,07;3.992,42;;
07-nov-2017;39.809,00;3.854,77;;
06-nov-2017;40.115,77;4.139,41;;
03-nov-2017;39.762,67;3.860,59;;
02-nov-2017;40.149,86;3.698,56;;
31-oct-2017;39.611,64;3.584,74;;
30-oct-2017;39.881,22;3.478,12;;
27-oct-2017;39.667,13;3.344,65;;
26-oct-2017;39.889,60;3.271,05;;
25-oct-2017;39.840,92;3.294,61;;
24-oct-2017;39.411,36;3.308,64;;
20-oct-2017;39.132,62;3.265,48;;
19-oct-2017;39.098,21;3.212,16;;
18-oct-2017;39.081,77;3.204,98;;
17-oct-2017;38.909,78;3.199,48;;
16-oct-2017;39.119,89;3.195,11;;
13-oct-2017;38.894,88;3.142,37;;
12-oct-2017;38.772,08;3.130,89;;
11-oct-2017;38.453,12;3.141,53;;
10-oct-2017;38.031,67;3.084,26;;
09-oct-2017;38.008,75;3.081,46;;
06-oct-2017;37.941,82;3.059,55;;
05-oct-2017;37.876,47;3.051,46;;
04-oct-2017;37.923,24;3.067,33;;
03-oct-2017;37.908,57;3.075,55;;
02-oct-2017;37.751,85;3.058,32;;
29-sept-2017;37.290,65;3.017,12;;
28-sept-2017;37.191,65;3.017,99;;
27-sept-2017;37.244,30;3.005,72;;
26-sept-2017;37.319,24;3.006,74;;
25-sept-2017;38.107,87;3.017,01;;
22-sept-2017;38.178,63;3.012,44;;
21-sept-2017;38.109,21;3.014,64;;
20-sept-2017;38.108,04;3.028,23;;
19-sept-2017;38.176,08;3.029,84;;
18-sept-2017;38.387,22;3.022,33;;
15-sept-2017;38.325,93;2.998,12;;
14-sept-2017;38.243,20;3.047,13;;
13-sept-2017;38.119,09;2.995,73;;
12-sept-2017;38.076,88;2.944,13;;
11-sept-2017;37.895,85;2.927,27;;
08-sept-2017;37.596,75;2.901,45;;
07-sept-2017;37.783,51;2.903,37;;
06-sept-2017;37.878,86;2.903,75;;
05-sept-2017;37.736,10;2.906,14;;
04-sept-2017;37.465,26;2.927,79;;
01-sept-2017;37.719,90;2.942,02;;
31-aug-2017;38.092,26;2.916,86;;
30-aug-2017;37.903,88;2.919,91;;
29-aug-2017;37.639,62;2.899,31;;
28-aug-2017;38.097,59;2.912,73;;
25-aug-2017;38.011,33;2.933,68;;
24-aug-2017;37.954,41;2.886,89;;
23-aug-2017;37.753,22;2.915,88;;
22-aug-2017;37.622,47;2.942,71;;
21-aug-2017;37.097,85;2.944,27;;
18-aug-2017;36.969,15;2.894,20;;
17-aug-2017;37.187,29;2.888,97;;
16-aug-2017;36.892,09;2.965,93;;
15-aug-2017;36.775,94;2.879,61;;
14-aug-2017;36.803,02;2.806,52;;
11-aug-2017;36.812,24;2.765,47;;
10-aug-2017;36.821,44;2.770,53;;
09-aug-2017;36.578,47;2.767,24;;
08-aug-2017;36.771,27;2.749,13;;
07-aug-2017;36.941,60;2.741,25;;
04-aug-2017;36.678,22;2.735,25;;
03-aug-2017;36.416,07;2.760,42;;
02-aug-2017;36.041,13;2.754,36;;
01-aug-2017;35.786,52;2.724,21;;
31-iul-2017;35.769,87;2.708,93;;
28-iul-2017;35.750,65;2.711,58;;
27-iul-2017;35.828,70;2.698,44;;
26-iul-2017;35.564,90;2.723,10;;
25-iul-2017;35.286,14;2.668,46;;
24-iul-2017;35.362,83;2.734,74;;
21-iul-2017;35.633,91;2.736,23;;
20-iul-2017;35.424,34;2.740,92;;
19-iul-2017;35.789,28;2.740,54;;
18-iul-2017;35.904,22;2.812,90;;
17-iul-2017;36.140,65;2.795,62;;
14-iul-2017;35.915,42;2.710,96;;
13-iul-2017;36.143,37;2.719,86;;
12-iul-2017;35.872,46;2.818,62;;
11-iul-2017;35.749,57;2.846,86;;
10-iul-2017;35.724,92;2.806,62;;
07-iul-2017;35.503,69;2.735,29;;
06-iul-2017;35.615,00;2.704,84;;
05-iul-2017;35.298,14;2.670,00;;
04-iul-2017;34.889,56;2.669,05;;
03-iul-2017;34.780,88;2.632,89;;
30-iun-2017;35.205,42;2.579,10;;
29-iun-2017;35.130,27;2.556,66;;
28-iun-2017;35.455,97;2.563,65;;
27-iun-2017;35.645,77;2.533,64;;
26-iun-2017;35.739,11;2.517,13;;
23-iun-2017;35.599,51;2.484,92;;
22-iun-2017;35.779,27;2.501,89;;
21-iun-2017;35.945,23;2.516,79;;
20-iun-2017;35.989,69;2.435,87;;
19-iun-2017;35.948,41;2.429,98;;
16-iun-2017;35.512,47;2.403,62;;
15-iun-2017;35.534,50;2.400,63;;
14-iun-2017;35.985,82;2.356,07;;
13-iun-2017;35.588,70;2.293,72;;
12-iun-2017;35.334,48;2.348,70;;
09-iun-2017;35.411,01;2.434,56;;
08-iun-2017;35.270,95;2.408,25;;
07-iun-2017;35.021,75;2.344,15;;
06-iun-2017;34.926,99;2.274,67;;
02-iun-2017;35.150,44;2.216,78;;
01-iun-2017;34.762,46;2.187,23;;
31-mai-2017;34.551,90;2.149,05;;
30-mai-2017;34.321,14;2.098,41;;
29-mai-2017;34.138,11;2.087,32;;
26-mai-2017;34.358,93;2.090,48;;
25-mai-2017;34.349,11;2.084,59;;
24-mai-2017;34.251,21;2.089,28;;
23-mai-2017;34.730,94;2.088,34;;
22-mai-2017;34.875,75;2.087,52;;
19-mai-2017;34.835,80;2.073,27;;
18-mai-2017;34.528,85;2.080,84;;
17-mai-2017;34.146,49;2.059,65;;
16-mai-2017;34.078,47;2.069,50;;
15-mai-2017;34.462,02;2.081,25;;
12-mai-2017;34.435,53;2.077,60;;
11-mai-2017;33.858,88;2.081,07;;
10-mai-2017;33.666,28;2.076,71;;
09-mai-2017;33.509,99;2.060,91;;
08-mai-2017;32.844,67;2.041,68;;
05-mai-2017;32.864,04;2.036,82;;
04-mai-2017;32.289,85;2.045,10;;
03-mai-2017;32.077,72;2.043,93;;
02-mai-2017;32.902,62;2.071,22;;
28-apr-2017;32.956,30;2.062,42;;
27-apr-2017;32.959,62;2.056,15;;
26-apr-2017;33.198,93;2.047,73;;
25-apr-2017;33.519,07;2.064,27;;
24-apr-2017;33.226,46;2.045,88;;
21-apr-2017;32.969,44;2.057,15;;
20-apr-2017;32.955,02;2.035,44;;
19-apr-2017;32.688,09;2.032,58;;
18-apr-2017;32.521,58;2.032,66;;
13-apr-2017;32.622,40;2.045,26;;
12-apr-2017;32.409,94;2.035,54;;
11-apr-2017;32.199,15;2.031,52;;
10-apr-2017;32.468,30;2.038,60;;
07-apr-2017;32.600,34;2.051,97;;
06-apr-2017;32.553,53;2.045,36;;
05-apr-2017;32.405,13;2.044,84;;
04-apr-2017;31.951,94;2.055,52;;
03-apr-2017;31.788,40;2.053,32;;
31-mar-2017;31.634,26;2.057,39;;
30-mar-2017;32.144,67;2.067,31;;
29-mar-2017;32.232,95;2.059,34;;
28-mar-2017;32.294,03;2.055,98;;
27-mar-2017;31.876,22;2.035,41;;
24-mar-2017;32.097,09;2.051,58;;
23-mar-2017;32.127,89;2.043,26;;
22-mar-2017;31.827,13;2.040,77;;
21-mar-2017;32.044,13;2.039,18;;
20-mar-2017;32.357,88;2.051,08;;
17-mar-2017;32.778,00;2.039,79;;
16-mar-2017;33.049,44;2.073,01;;
14-mar-2017;32.636,18;2.104,80;;
13-mar-2017;32.686,30;2.149,56;;
10-mar-2017;32.727,24;2.146,26;;
09-mar-2017;32.986,86;2.134,27;;
08-mar-2017;32.547,37;2.120,13;;
07-mar-2017;32.442,20;2.087,00;;
06-mar-2017;33.181,49;2.055,91;;
03-mar-2017;33.193,81;2.022,23;;
02-mar-2017;33.155,19;1.993,55;;
01-mar-2017;33.343,05;1.985,56;;
28-feb-2017;32.061,33;1.980,22;;
27-feb-2017;32.872,11;1.963,16;;
24-feb-2017;32.886,03;1.946,03;;
23-feb-2017;33.548,54;1.968,06;;
22-feb-2017;34.112,89;1.973,77;;
21-feb-2017;34.324,99;1.978,37;;
20-feb-2017;33.973,59;1.965,43;;
17-feb-2017;33.828,86;1.968,42;;
16-feb-2017;33.745,02;1.970,07;;
15-feb-2017;33.981,50;1.969,01;;
14-feb-2017;33.724,52;1.961,24;;
13-feb-2017;33.356,19;1.961,24;;
10-feb-2017;33.156,09;1.948,96;;
09-feb-2017;32.949,08;1.947,42;;
08-feb-2017;32.595,92;1.953,15;;
07-feb-2017;32.539,53;1.955,46;;
06-feb-2017;32.388,91;1.944,39;;
03-feb-2017;32.905,89;1.958,62;;
02-feb-2017;32.575,16;1.950,06;;
01-feb-2017;32.584,18;1.946,08;;
31-ian-2017;32.481,29;1.943,41;;
30-ian-2017;32.476,71;1.931,97;;
27-ian-2017;32.714,58;1.937,98;;
26-ian-2017;32.918,47;1.931,67;;
25-ian-2017;32.807,71;1.944,67;;
24-ian-2017;32.690,23;1.939,86;;
23-ian-2017;32.906,48;1.940,19;;
20-ian-2017;32.881,92;1.953,38;;
19-ian-2017;32.709,08;1.954,95;;
18-ian-2017;32.841,25;1.959,77;;
17-ian-2017;32.782,26;1.956,89;;
16-ian-2017;32.996,94;1.966,97;;
13-ian-2017;32.949,77;1.964,88;;
12-ian-2017;32.966,42;1.963,59;;
11-ian-2017;32.972,20;1.968,75;;
10-ian-2017;33.031,53;1.969,43;;
09-ian-2017;32.854,26;1.952,59;;
06-ian-2017;32.855,87;1.954,56;;
05-ian-2017;32.750,00;1.953,43;;
04-ian-2017;32.649,04;1.955,68;;
03-ian-2017;32.169,13;1.948,40;;
02-ian-2017;32.099,05;1.943,02;;
30-dec-2016;32.003,05;1.939,57;;
29-dec-2016;31.847,87;1.938,59;;
28-dec-2016;32.025,60;1.928,99;;
27-dec-2016;31.868,51;1.932,77;;
23-dec-2016;31.638,81;1.930,17;;
22-dec-2016;31.700,85;1.927,96;;
21-dec-2016;31.765,30;1.916,72;;
20-dec-2016;31.713,50;1.913,63;;
19-dec-2016;31.646,38;1.907,01;;
16-dec-2016;31.876,26;1.913,35;;
15-dec-2016;31.636,19;1.902,56;;
14-dec-2016;31.374,28;1.899,89;;
13-dec-2016;30.938,13;1.889,60;;
12-dec-2016;30.613,15;1.883,65;;
09-dec-2016;30.588,38;1.892,83;;
08-dec-2016;30.629,48;1.882,79;;
07-dec-2016;30.152,01;1.868,01;;
06-dec-2016;30.075,71;1.863,27;;
05-dec-2016;30.100,00;1.874,67;;
02-dec-2016;29.808,49;1.870,42;;
01-dec-2016;29.998,19;1.874,45;;
30-nov-2016;30.014,04;1.879,16;;
29-nov-2016;29.816,30;1.878,30;;
28-nov-2016;30.002,50;1.877,02;;
25-nov-2016;29.979,96;1.884,14;;
24-nov-2016;30.158,58;1.889,57;;
23-nov-2016;30.156,29;1.877,20;;
22-nov-2016;30.240,38;1.881,29;;
21-nov-2016;30.103,57;1.880,84;;
18-nov-2016;30.109,02;1.881,83;;
17-nov-2016;29.941,07;1.880,59;;
16-nov-2016;29.972,83;1.876,01;;
15-nov-2016;30.133,01;1.880,22;;
14-nov-2016;30.122,88;1.879,23;;
11-nov-2016;30.502,15;1.874,56;;
10-nov-2016;30.540,32;1.872,31;;
09-nov-2016;30.365,21;1.871,30;;
08-nov-2016;30.348,45;1.882,64;;
07-nov-2016;30.353,45;1.882,03;;
04-nov-2016;30.017,23;1.871,78;;
03-nov-2016;29.872,00;1.875,15;;
02-nov-2016;29.498,95;1.854,27;;
28-oct-2016;29.802,79;1.870,01;;
27-oct-2016;29.689,69;1.872,52;;
26-oct-2016;29.854,68;1.886,88;;
25-oct-2016;29.719,36;1.895,37;;
24-oct-2016;29.813,86;1.901,39;;
21-oct-2016;29.572,36;1.885,43;;
20-oct-2016;29.340,88;1.888,88;;
19-oct-2016;29.168,00;1.872,23;;
18-oct-2016;29.012,68;1.849,69;;
17-oct-2016;28.612,95;1.854,97;;
14-oct-2016;28.392,01;1.832,44;;
13-oct-2016;28.123,21;1.825,23;;
12-oct-2016;28.396,87;1.832,67;;
11-oct-2016;28.479,24;1.850,30;;
10-oct-2016;28.570,02;1.835,24;;
07-oct-2016;28.438,95;1.827,04;;
06-oct-2016;28.399,59;1.828,78;;
05-oct-2016;28.487,05;1.827,50;;
04-oct-2016;28.570,99;1.827,16;;
03-oct-2016;28.012,37;1.828,93;;
30-sept-2016;27.664,25;1.812,84;;
29-sept-2016;27.988,68;1.828,57;;
28-sept-2016;27.476,40;1.823,92;;
27-sept-2016;27.481,04;1.822,94;;
26-sept-2016;27.685,30;1.825,52;;
23-sept-2016;28.120,09;1.824,43;;
22-sept-2016;28.300,83;1.815,08;;
21-sept-2016;28.254,34;1.813,09;;
20-sept-2016;28.208,66;1.798,44;;
19-sept-2016;28.564,54;1.810,36;;
16-sept-2016;28.097,66;1.806,42;;
15-sept-2016;28.139,11;1.803,19;;
14-sept-2016;28.095,35;1.809,14;;
13-sept-2016;27.828,01;1.808,99;;
12-sept-2016;28.167,57;1.803,97;;
09-sept-2016;28.445,83;1.807,22;;
08-sept-2016;28.505,53;1.802,70;;
07-sept-2016;28.642,84;1.792,20;;
06-sept-2016;28.597,82;1.806,17;;
05-sept-2016;28.408,18;1.799,73;;
02-sept-2016;28.189,60;1.828,24;;
01-sept-2016;28.045,22;1.817,37;;
31-aug-2016;27.969,24;1.827,72;;
30-aug-2016;28.050,08;1.821,29;;
29-aug-2016;27.921,92;1.814,37;;
26-aug-2016;27.733,77;1.814,97;;
25-aug-2016;27.779,62;1.807,75;;
24-aug-2016;27.949,27;1.803,69;;
23-aug-2016;27.723,68;1.799,27;;
22-aug-2016;27.572,95;1.784,81;;
19-aug-2016;27.599,77;1.791,10;;
18-aug-2016;27.700,12;1.777,09;;
17-aug-2016;27.790,97;1.784,27;;
16-aug-2016;27.671,68;1.777,60;;
15-aug-2016;27.868,79;1.775,69;;
12-aug-2016;27.812,89;1.762,73;;
11-aug-2016;27.524,41;1.768,12;;
10-aug-2016;27.502,22;1.764,41;;
09-aug-2016;27.593,10;1.772,35;;
08-aug-2016;27.357,86;1.766,72;;
05-aug-2016;27.311,45;1.750,17;;
04-aug-2016;27.574,38;1.782,07;;
03-aug-2016;27.023,94;1.787,40;;
02-aug-2016;27.167,07;1.761,32;;
01-aug-2016;27.468,88;1.749,60;;
29-iul-2016;27.628,17;1.733,37;;
28-iul-2016;27.628,47;1.726,58;;
27-iul-2016;27.781,05;1.720,46;;
26-iul-2016;28.014,13;1.715,37;;
25-iul-2016;27.950,24;1.716,04;;
22-iul-2016;27.851,63;1.717,49;;
21-iul-2016;27.836,10;1.726,97;;
20-iul-2016;27.573,51;1.709,97;;
19-iul-2016;27.410,14;1.710,67;;
18-iul-2016;27.088,22;1.713,09;;
15-iul-2016;27.065,97;1.708,51;;
14-iul-2016;27.163,42;1.704,85;;
13-iul-2016;27.192,32;1.709,96;;
12-iul-2016;27.396,22;1.700,25;;
11-iul-2016;27.418,06;1.697,18;;
08-iul-2016;27.026,30;1.687,20;;
07-iul-2016;26.970,45;1.680,25;;
06-iul-2016;26.491,02;1.672,54;;
05-iul-2016;26.425,87;1.670,07;;
04-iul-2016;26.268,11;1.671,68;;
01-iul-2016;26.328,67;1.685,30;;
30-iun-2016;26.325,60;1.683,18;;
29-iun-2016;26.383,32;1.675,14;;
28-iun-2016;26.226,84;1.641,66;;
27-iun-2016;25.390,23;1.634,64;;
24-iun-2016;25.724,91;1.631,80;;
23-iun-2016;26.924,09;1.645,65;;
22-iun-2016;26.789,35;1.645,38;;
21-iun-2016;26.811,37;1.642,45;;
20-iun-2016;26.563,59;1.649,74;;
17-iun-2016;26.242,50;1.665,72;;
16-iun-2016;25.814,83;1.691,34;;
15-iun-2016;26.318,09;1.688,32;;
14-iun-2016;25.831,00;1.686,12;;
13-iun-2016;25.830,59;1.671,79;;
10-iun-2016;26.519,61;1.689,85;;
09-iun-2016;26.975,91;1.706,07;;
08-iun-2016;27.396,89;1.717,77;;
07-iun-2016;27.394,19;1.759,35;;
06-iun-2016;27.089,00;1.761,58;;
03-iun-2016;27.134,17;1.765,26;;
02-iun-2016;27.208,42;1.766,86;;
01-iun-2016;26.989,59;1.772,33;;
31-mai-2016;26.521,19;1.767,34;;
30-mai-2016;27.089,72;1.769,08;;
27-mai-2016;27.011,72;1.771,83;;
26-mai-2016;26.656,81;1.766,03;;
25-mai-2016;26.704,47;1.769,82;;
24-mai-2016;26.711,67;1.769,23;;
23-mai-2016;26.368,25;1.767,15;;
20-mai-2016;26.434,48;1.778,32;;
19-mai-2016;25.742,85;1.762,51;;
18-mai-2016;26.026,21;1.773,00;;
17-mai-2016;26.247,31;1.782,19;;
13-mai-2016;26.556,35;1.785,03;;
12-mai-2016;26.850,53;1.794,54;;
11-mai-2016;26.845,23;1.783,94;;
10-mai-2016;26.899,84;1.786,25;;
09-mai-2016;26.623,71;1.776,53;;
06-mai-2016;26.128,84;1.780,35;;
05-mai-2016;26.240,14;1.781,61;;
04-mai-2016;26.212,15;1.780,21;;
03-mai-2016;26.539,16;1.780,63;;
02-mai-2016;26.869,01;1.791,17;;
29-apr-2016;26.871,59;1.788,59;;
28-apr-2016;26.840,75;1.790,19;;
27-apr-2016;26.988,76;1.775,04;;
26-apr-2016;26.861,12;1.778,16;;
25-apr-2016;26.904,61;1.768,47;;
22-apr-2016;26.747,09;1.770,63;;
21-apr-2016;27.009,95;1.775,68;;
20-apr-2016;27.192,03;1.762,47;;
19-apr-2016;27.271,78;1.772,60;;
18-apr-2016;27.081,72;1.761,29;;
15-apr-2016;27.142,26;1.755,28;;
14-apr-2016;26.926,61;1.760,34;;
13-apr-2016;26.412,03;1.757,33;;
12-apr-2016;26.027,14;1.749,26;;
11-apr-2016;26.268,42;1.757,42;;
08-apr-2016;26.513,45;1.758,13;;
07-apr-2016;26.397,46;1.753,30;;
06-apr-2016;26.298,11;1.758,96;;
05-apr-2016;26.210,41;1.749,11;;
04-apr-2016;26.412,10;1.755,70;;
01-apr-2016;26.310,88;1.749,78;;
31-mar-2016;26.451,02;1.745,45;;
30-mar-2016;26.314,30;1.742,60;;
29-mar-2016;25.737,40;1.737,85;;
24-mar-2016;25.446,07;1.734,49;;
23-mar-2016;25.697,58;1.728,71;;
22-mar-2016;25.878,61;1.732,80;;
21-mar-2016;25.832,37;1.725,32;;
18-mar-2016;25.938,65;1.719,03;;
17-mar-2016;25.770,70;1.722,67;;
16-mar-2016;25.613,81;1.728,00;;
11-mar-2016;25.608,69;1.733,31;;
10-mar-2016;25.254,65;1.721,35;;
09-mar-2016;25.345,77;1.728,09;;
08-mar-2016;25.255,40;1.735,83;;
07-mar-2016;24.911,31;1.724,64;;
04-mar-2016;24.735,23;1.730,49;;
