Data;BET;BET-NG (Energy);BET-FI (Financial);WIG;WIG IT;WIG ENERGY;WIG OIL&GAS;WIG FOOD;WIG CONSTRUCTION;WIG BANKS;WIG MEDIA;WIG CHEMICALS;BUX;BUMIX;PX;SOFIX;BG REIT
29-feb-2016;6.389,400;557,490;27.255,450;45.430,290;1.616,820;2.855,360;4.256,670;3.347,270;2.967,450;5.899,750;4.202,000;15.494,450;23.327,940;1.705,650;857,610;447,420;100,460
31-mar-2016;6.737,730;571,240;28.104,670;49.017,350;1.772,310;3.114,330;4.797,120;3.541,380;2.896,700;6.498,600;4.437,180;15.523,480;26.451,020;1.745,450;899,910;446,350;100,000
30-apr-2016;6.447,990;539,530;26.691,720;47.641,990;1.756,560;3.002,700;4.550,550;3.655,380;2.890,200;5.984,190;4.464,540;15.070,840;26.871,590;1.788,590;916,040;442,590;100,250
31-mai-2016;6.360,320;539,040;25.986,690;45.844,150;1.759,070;2.761,520;4.630,190;3.676,900;2.826,510;5.840,810;4.224,460;12.729,800;26.521,190;1.767,340;893,760;441,340;101,370
30-iun-2016;6.473,410;561,030;26.639,030;44.748,530;1.714,450;2.682,730;4.696,120;3.614,070;2.548,610;5.687,180;4.156,730;12.311,840;26.325,600;1.683,180;816,910;455,550;102,240
31-iul-2016;6.725,190;566,140;28.291,200;46.171,720;1.847,290;2.911,460;4.492,530;3.943,070;2.713,810;5.629,510;4.394,420;13.306,040;27.628,170;1.733,370;881,740;458,180;100,910
31-aug-2016;7.035,720;584,800;29.406,390;47.935,100;2.062,090;2.630,840;4.579,190;3.838,540;2.872,210;6.270,720;4.533,850;13.082,370;27.969,240;1.827,720;859,140;464,660;102,480
30-sept-2016;6.936,840;571,820;29.094,710;47.084,940;2.032,440;2.396,240;4.500,150;3.851,510;2.945,730;5.992,850;4.536,280;13.354,080;27.664,250;1.812,840;863,580;504,580;103,270
31-oct-2016;6.811,060;556,530;28.693,210;49.158,800;1.973,710;2.490,740;5.120,370;3.998,320;2.891,610;6.100,450;4.497,220;13.652,600;29.802,790;1.870,010;921,780;531,820;104,610
30-nov-2016;6.833,930;562,860;28.755,080;48.618,640;2.056,060;2.341,450;5.084,310;4.178,720;2.808,620;5.762,250;4.455,290;12.821,420;30.014,040;1.879,160;881,220;562,820;103,480
