;SOFIX;BG REIT
28-iun-2022;611,48;179,02
27-iun-2022;613,67;179,09
24-iun-2022;614,28;178,48
23-iun-2022;606,43;178,23
22-iun-2022;611,79;178,66
21-iun-2022;616,25;179,13
20-iun-2022;612,77;178,58
17-iun-2022;612,79;178,76
16-iun-2022;611,73;178,94
15-iun-2022;611,68;179,20
14-iun-2022;611,38;179,08
13-iun-2022;615,09;178,28
10-iun-2022;620,06;179,22
09-iun-2022;620,31;179,56
08-iun-2022;621,86;183,82
07-iun-2022;618,57;181,86
06-iun-2022;614,45;182,13
03-iun-2022;615,66;180,49
02-iun-2022;618,54;180,17
01-iun-2022;621,96;181,56
31-mai-2022;617,97;181,14
30-mai-2022;612,92;180,83
27-mai-2022;613,62;180,91
26-mai-2022;610,42;180,23
25-mai-2022;608,21;181,24
23-mai-2022;614,46;181,58
20-mai-2022;618,69;181,64
19-mai-2022;613,99;181,20
18-mai-2022;616,05;181,88
17-mai-2022;609,43;181,99
16-mai-2022;600,7;181,09
13-mai-2022;599,63;180,64
12-mai-2022;601,82;180,74
11-mai-2022;608,08;180,52
10-mai-2022;600,53;179,84
09-mai-2022;603,95;180,29
05-mai-2022;605,42;180,52
04-mai-2022;602,52;180,30
03-mai-2022;603,39;180,19
29-apr-2022;619,03;180,41
28-apr-2022;610,55;179,41
27-apr-2022;613,46;179,36
26-apr-2022;630,27;180,04
21-apr-2022;635,25;178,82
20-apr-2022;636,79;179,27
19-apr-2022;637,08;179,16
14-apr-2022;634,32;178,70
13-apr-2022;631,06;178,01
12-apr-2022;622,7;178,00
11-apr-2022;621,02;178,23
08-apr-2022;627,55;177,22
07-apr-2022;623,7;175,98
06-apr-2022;627,01;175,53
05-apr-2022;636,04;176,09
04-apr-2022;636,2;175,52
01-apr-2022;635,1;175,98
31-mar-2022;626,76;175,04
30-mar-2022;623,2;174,04
29-mar-2022;618,66;172,42
28-mar-2022;610,83;170,68
25-mar-2022;610,52;171,52
24-mar-2022;597,23;170,94
23-mar-2022;600,73;171,50
22-mar-2022;597,16;171,33
21-mar-2022;598,03;171,64
18-mar-2022;601,96;171,19
17-mar-2022;596,56;170,91
16-mar-2022;589,67;170,69
15-mar-2022;590,38;171,23
14-mar-2022;589,73;169,18
11-mar-2022;579,31;167,86
10-mar-2022;570,49;165,49
09-mar-2022;576,23;165,51
08-mar-2022;547,27;164,80
07-mar-2022;538,96;165,07
04-mar-2022;574,42;165,25
02-mar-2022;587,48;165,56
01-mar-2022;592,93;165,76
28-feb-2022;595,22;165,03
25-feb-2022;607,24;166,02
24-feb-2022;595,89;164,87
23-feb-2022;607,44;166,03
22-feb-2022;615,11;166,30
